YEAR	tasktype	count
2009	CA	3224
2009	CC	76357
2009	IA	9214
2009	IF	15076
2009	SU	21412
2009	VV	10223
2010	CA	6490
2010	CC	165628
2010	IA	11236
2010	IF	14370
2010	SU	21838
2010	VV	38111
2011	CA	4193
2011	CC	257528
2011	IA	28938
2011	IF	16433
2011	SU	41445
2011	VV	109644
2012	CA	2436
2012	CC	496202
2012	IA	29144
2012	IF	24002
2012	SU	52926
2012	VV	107784
2013	CA	1345
2013	CC	397734
2013	IA	94054
2013	IF	28977
2013	SU	70050
2013	VV	76516
2014	CA	1240
2014	CC	192850
2014	IA	24979
2014	IF	51023
2014	SU	63374
2014	VV	79257
